station_key,station_name,source_load_archetype_cluster,peer_count,method,nrmse,mae,pearson_correlation
aberdeen6611kv,Aberdeen 66_11kV,3,60,cluster_leave_one_station_out_median,0.05395588342206026,0.044873598507130186,0.9603583222885204
adamstown13211kv,Adamstown 132_11kV,3,60,cluster_leave_one_station_out_median,0.06086375195891335,0.047265718672205304,0.9492805686669883
argenton13211kv,Argenton 132_11kV,2,73,cluster_leave_one_station_out_median,0.05577530123447567,0.04481757511000581,0.9490486260770576
arncliffe3311kv,Arncliffe 33_11kV,2,73,cluster_leave_one_station_out_median,0.05928910920888034,0.048825510638303475,0.9406979648292495
auburn3311kv,Auburn 33_11kV,1,21,cluster_leave_one_station_out_median,0.05987060249790677,0.05054906075655672,0.9717267577380584
avoca6611kv,Avoca 66_11kV,3,60,cluster_leave_one_station_out_median,0.04715383451638601,0.03636385082162142,0.9808917384025986
avondale3311kv,Avondale 33_11kV,3,60,cluster_leave_one_station_out_median,0.053238199285540196,0.04786597569748315,0.9623850689391588
baerami3311kv,Baerami 33_11kV,0,39,cluster_leave_one_station_out_median,0.06863113950906315,0.060443297316981136,0.8633468239016249
balgowlahnorth13211kv,Balgowlah North 132_11kV,2,73,cluster_leave_one_station_out_median,0.08296519588606989,0.0671307855541547,0.936632788836713
bankstown13211kv,Bankstown 132_11kV,2,73,cluster_leave_one_station_out_median,0.035814302785110295,0.03130998532812501,0.9789672122499872
basshill3311kv,Bass Hill 33_11kV,0,39,cluster_leave_one_station_out_median,0.05627264619530264,0.03979654655454366,0.9285533984559496
beaconhill3311kv,Beacon Hill 33_11kV,2,73,cluster_leave_one_station_out_median,0.05960929057837193,0.04863345926272148,0.9442377142324807
belmorepark13211kv,Belmore Park 132_11kV,1,21,cluster_leave_one_station_out_median,0.07101877936716705,0.0632775664157389,0.9875220857833074
belrose3311kv,Belrose 33_11kV,3,60,cluster_leave_one_station_out_median,0.07654218941232055,0.056210364976055666,0.9201200130599468
berkeleyvale13211kv,Berkeley Vale 132_11kV,0,39,cluster_leave_one_station_out_median,0.07170344566883045,0.0645194164004635,0.8149289027527037
berowra13211kv,Berowra 132_11kV,3,60,cluster_leave_one_station_out_median,0.08644130394004564,0.05479310437476345,0.8982370492720914
blackwattlebay335kv,Blackwattle Bay 33_5kV,2,73,cluster_leave_one_station_out_median,0.05672864374415202,0.04761156014604249,0.9456564753508602
blakehurst3311kv,Blakehurst 33_11kV,3,60,cluster_leave_one_station_out_median,0.08920242601619692,0.0782861045513449,0.9051585834070288
botany3311kv,Botany 33_11kV,0,39,cluster_leave_one_station_out_median,0.0894993637599445,0.07996260403207182,0.7613690577198766
brandyhill13211kv,Brandy Hill 132_11kV,3,60,cluster_leave_one_station_out_median,0.06919640349964461,0.059894725984069384,0.937093507363796
branxton6611kv,Branxton 66_11kV,3,60,cluster_leave_one_station_out_median,0.11697695753083519,0.10271146492580235,0.9173816181837812
broadmeadow13211kv,Broadmeadow 132_11kV,2,73,cluster_leave_one_station_out_median,0.05780594647905841,0.052376657792865516,0.9505814480154693
broadmeadow3311kv,Broadmeadow 33_11kV,0,39,cluster_leave_one_station_out_median,0.047658318327481616,0.03832586273220905,0.9024962822202236
brookvale3311kv,Brookvale 33_11kV,1,21,cluster_leave_one_station_out_median,0.051344740875390336,0.047648547891069114,0.9957551442387762
burwood13211kv,Burwood 132_11kV,2,73,cluster_leave_one_station_out_median,0.027075461001871873,0.021507931491382037,0.987963192479643
campbellst13211kv,Campbell St 132_11kV,1,21,cluster_leave_one_station_out_median,0.05290683201073079,0.04729014440107577,0.9834724636313377
camperdown3311kv,Camperdown 33_11kV,2,73,cluster_leave_one_station_out_median,0.03379546934676168,0.029213444934357218,0.9827868101256896
camperdown335kv,Camperdown 33_5kV,2,73,cluster_leave_one_station_out_median,0.045216303743664095,0.03634816318611569,0.9669151177693106
campsie3311kv,Campsie 33_11kV,2,73,cluster_leave_one_station_out_median,0.0809558028758679,0.0672640486025265,0.8998892686770787
cardiff3311kv,Cardiff 33_11kV,3,60,cluster_leave_one_station_out_median,0.07167464466621064,0.06404752829327266,0.9317629099400089
careelbay3311kv,Careel Bay 33_11kV,2,73,cluster_leave_one_station_out_median,0.08446107587564755,0.06770005256943977,0.890777158456399
caringbah3311kv,Caringbah 33_11kV,2,73,cluster_leave_one_station_out_median,0.06085287887302851,0.05101335984537303,0.9376310263542766
carrington3311kv,Carrington 33_11kV,2,73,cluster_leave_one_station_out_median,0.06608898833974715,0.05644692169028168,0.9255323037409917
castlecove13211kv,Castle Cove 132_11kV,2,73,cluster_leave_one_station_out_median,0.0874523956356382,0.08129317556666117,0.9419877549490331
cessnock3311kv,Cessnock 33_11kV,2,73,cluster_leave_one_station_out_median,0.09233223261707886,0.07261006157380849,0.8643431906590746
cessnocksouth3311kv,Cessnock South 33_11kV,3,60,cluster_leave_one_station_out_median,0.0877772545369455,0.07470921051157525,0.9491853931158426
charlestown13211kv,Charlestown 132_11kV,2,73,cluster_leave_one_station_out_median,0.05545341381225674,0.04716804654266874,0.9552752558357909
charmhaven13211kv,Charmhaven 132_11kV,3,60,cluster_leave_one_station_out_median,0.045996070897092185,0.03758863883401541,0.973150786325101
chatswood3311kv,Chatswood 33_11kV,2,73,cluster_leave_one_station_out_median,0.034706727854523084,0.030341675050436265,0.9970623336878613
citycentral13211kv,City Central 132_11kV,1,21,cluster_leave_one_station_out_median,0.07181106527891845,0.06487469410942683,0.9887358206531849
cityeast3311kv,City East 33_11kV,1,21,cluster_leave_one_station_out_median,0.07873263933065038,0.07187867538772406,0.9889407810403232
citynorth13211kv,City North 132_11kV,1,21,cluster_leave_one_station_out_median,0.06752139384105739,0.05554262708456827,0.9801434746246229
citysouth13211kv,City South 132_11kV,1,21,cluster_leave_one_station_out_median,0.06635964240134073,0.058428662556523896,0.9844197147356154
clovelly13211kv,Clovelly 132_11kV,2,73,cluster_leave_one_station_out_median,0.034436522986861715,0.02800774744269093,0.984264516305575
concord3311kv,Concord 33_11kV,2,73,cluster_leave_one_station_out_median,0.021815615090276037,0.019174533408234915,0.9921947214617814
cronulla13211kv,Cronulla 132_11kV,3,60,cluster_leave_one_station_out_median,0.067504802317251,0.05159588410413535,0.9459611461480152
croudacebay3311kv,Croudace Bay 33_11kV,3,60,cluster_leave_one_station_out_median,0.037506162759780436,0.03128895506178476,0.9864347374200564
crowsnest13211kv,Crows Nest 132_11kV,2,73,cluster_leave_one_station_out_median,0.06607046267930951,0.056793223257451154,0.9747607071095217
crowsnest3311kv,Crows Nest 33_11kV,1,21,cluster_leave_one_station_out_median,0.1132266008379544,0.09479089834150052,0.9192854958977745
croydon13211kv,Croydon 132_11kV,2,73,cluster_leave_one_station_out_median,0.07520442590127063,0.060091556882888565,0.918181698051613
dalleyst13211kv,Dalley St 132_11kV,1,21,cluster_leave_one_station_out_median,0.08432510279931528,0.0740158384320822,0.9811932329040713
darlingharbour13211kv,Darling Harbour 132_11kV,2,73,cluster_leave_one_station_out_median,0.05917827605629781,0.04999486496489022,0.9452348727226456
darlinghurst3311kv,Darlinghurst 33_11kV,1,21,cluster_leave_one_station_out_median,0.07582899726630245,0.06991319999355926,0.9764263681479031
deewhywest3311kv,Dee Why West 33_11kV,2,73,cluster_leave_one_station_out_median,0.07790617469476345,0.06212416326882029,0.9215671006947735
denman6611kv,Denman 66_11kV,3,60,cluster_leave_one_station_out_median,0.052207837229098567,0.04313921797107174,0.9697321964236851
doublebay13211kv,Double Bay 132_11kV,2,73,cluster_leave_one_station_out_median,0.07423008381673264,0.06575662216336713,0.9604378171811845
drummoyne13211kv,Drummoyne 132_11kV,2,73,cluster_leave_one_station_out_median,0.07654080603425012,0.061049469021240636,0.9456392679198273
dulwichhill3311kv,Dulwich Hill 33_11kV,2,73,cluster_leave_one_station_out_median,0.06619522199369844,0.05370708985351861,0.9357794308721259
eastmaitland3311kv,East Maitland 33_11kV,2,73,cluster_leave_one_station_out_median,0.06747228945173996,0.052640559953780995,0.9522355474674282
edgeworth3311kv,Edgeworth 33_11kV,3,60,cluster_leave_one_station_out_median,0.13954956035277338,0.11270401912275803,0.9280972268190191
empirebay6611kv,Empire Bay 66_11kV,3,60,cluster_leave_one_station_out_median,0.14708339640748277,0.11370136010840548,0.8435257316280063
enfield3311kv,Enfield 33_11kV,0,39,cluster_leave_one_station_out_median,0.057415608078198156,0.04335693817884145,0.9419571759359343
engadine13211kv,Engadine 132_11kV,3,60,cluster_leave_one_station_out_median,0.09405139565327085,0.07052701781191634,0.9151801779476182
engadine3311kv,Engadine 33_11kV,0,39,cluster_leave_one_station_out_median,0.07772149551537393,0.05973544050947488,0.6987472108346633
epping6611kv,Epping 66_11kV,2,73,cluster_leave_one_station_out_median,0.024073385269987875,0.018731551417795145,0.9909618055593084
erina6611kv,Erina 66_11kV,2,73,cluster_leave_one_station_out_median,0.07145761648381317,0.06343793221860815,0.921275353275326
fivedock3311kv,Five Dock 33_11kV,2,73,cluster_leave_one_station_out_median,0.041079728182742775,0.031289833324651274,0.9892117780342532
flemington13211kv,Flemington 132_11kV,0,39,cluster_leave_one_station_out_median,0.09331330741130128,0.08107350277077528,0.65256535628285
galston13211kv,Galston 132_11kV,3,60,cluster_leave_one_station_out_median,0.04001941560367918,0.03341840094944455,0.9877611104744632
gateshead3311kv,Gateshead 33_11kV,2,73,cluster_leave_one_station_out_median,0.09370330171917733,0.07512886367403027,0.8448881047032386
gorehill3311kv,Gore Hill 33_11kV,1,21,cluster_leave_one_station_out_median,0.07680697200552693,0.06998721716900641,0.9961036902137013
greenacre13211kv,Greenacre 132_11kV,0,39,cluster_leave_one_station_out_median,0.06026315237965275,0.052028153969892854,0.940507292026895
greenacrepark13211kv,Greenacre Park 132_11kV,2,73,cluster_leave_one_station_out_median,0.057810725932380465,0.04812704578121918,0.9437488629439619
greensquare13211kv,Green Square 132_11kV,1,21,cluster_leave_one_station_out_median,0.07620407115673725,0.06851309741576068,0.9931295821529069
gwawleybay13211kv,Gwawley Bay 132_11kV,2,73,cluster_leave_one_station_out_median,0.07116857744538274,0.06024493723553976,0.9324520180572133
gwawleybay3311kv,Gwawley Bay 33_11kV,2,73,cluster_leave_one_station_out_median,0.06929111096266158,0.058525891629479056,0.9355554902499045
harbord3311kv,Harbord 33_11kV,3,60,cluster_leave_one_station_out_median,0.11962177415895194,0.09175273508524784,0.8840920717093063
homebushbay13211kv,Homebush Bay 132_11kV,1,21,cluster_leave_one_station_out_median,0.10242132464763176,0.0931368830967696,0.986454673067547
hornsby13211kv,Hornsby 132_11kV,2,73,cluster_leave_one_station_out_median,0.05041040382254967,0.036515081859390584,0.9623083325688077
huntershill6611kv,Hunters Hill 66_11kV,2,73,cluster_leave_one_station_out_median,0.046698644409407755,0.037749133831341104,0.9694691850576198
hurstvillenorth13211kv,Hurstville North 132_11kV,2,73,cluster_leave_one_station_out_median,0.039143878820077756,0.03108048857981896,0.9748836601764412
hurstvillenorth3311kv,Hurstville North 33_11kV,2,73,cluster_leave_one_station_out_median,0.06436546741599931,0.04805548597347,0.9309727277467574
jannali3311kv,Jannali 33_11kV,3,60,cluster_leave_one_station_out_median,0.11439099851351466,0.08888110527670791,0.9118167795635338
jesmond13211kv,Jesmond 132_11kV,0,39,cluster_leave_one_station_out_median,0.05278647402733941,0.0458222119203475,0.9579797694614978
jewells3311kv,Jewells 33_11kV,3,60,cluster_leave_one_station_out_median,0.04574389476857843,0.03485679940426254,0.9741150114276913
killarney3311kv,Killarney 33_11kV,3,60,cluster_leave_one_station_out_median,0.051175682701935,0.03312960628841564,0.967921265238501
kingsford13211kv,Kingsford 132_11kV,2,73,cluster_leave_one_station_out_median,0.03174876010796827,0.02720397819315463,0.9833294811907497
kirrawee13211kv,Kirrawee 132_11kV,2,73,cluster_leave_one_station_out_median,0.08332940155503658,0.06850431416443954,0.8790533396949467
kogarah13211kv,Kogarah 132_11kV,2,73,cluster_leave_one_station_out_median,0.03405100614604475,0.027454182112378794,0.9857756335256438
kotara3311kv,Kotara 33_11kV,2,73,cluster_leave_one_station_out_median,0.08761853979897806,0.07845933817562124,0.9557205168901061
kurnellsouth13211kv,Kurnell South 132_11kV,0,39,cluster_leave_one_station_out_median,0.045091991540033766,0.040652880867188615,0.9182113295338528
kurri13211kv,Kurri 132_11kV,3,60,cluster_leave_one_station_out_median,0.05488000950515936,0.04469985087782977,0.972806390536411
lakemunmorah13211kv,Lake Munmorah 132_11kV,3,60,cluster_leave_one_station_out_median,0.11360842136969956,0.08921354548909755,0.8932116310539047
leichhardt13211kv,Leichhardt 132_11kV,2,73,cluster_leave_one_station_out_median,0.04979471296817186,0.0429733268568977,0.9587626191509061
leichhardt3311kv,Leichhardt 33_11kV,2,73,cluster_leave_one_station_out_median,0.05923870346490415,0.046327879675607087,0.9882181223709319
leightonfield3311kv,Leightonfield 33_11kV,0,39,cluster_leave_one_station_out_median,0.056550994888234944,0.04803948790020827,0.8520375513660177
lemington6611kv,Lemington 66_11kV,0,39,cluster_leave_one_station_out_median,0.0353455271835899,0.03023008137962528,0.9529061565856767
lidcombe3311kv,Lidcombe 33_11kV,2,73,cluster_leave_one_station_out_median,0.0406328935101114,0.03270110629747685,0.9769829129221652
