source_file,sha256,station_name,station_key,financial_year,row_count,date_start,date_end,date_parse_failure_count,interval_column_count,unit,finite_interval_fraction,negative_interval_count,zero_interval_count,robust_outlier_interval_count,usable_shape_days,eligible_for_archetype
2015/Aberdeen 33_11kV FY2015.csv,1dbe1429ec886434651e9ba40c2dd3745aa9dd43966767e2eb171f302b4f184f,Aberdeen 33_11kV,aberdeen3311kv,2015,365,2014-05-01,2015-04-30,0,96,MW,0.1699771689497717,0,0,0,61,False
2015/Aberdeen 66_11kV FY2015.csv,7f427b2da1eb9122d7677b5a377719e0cc03c81478069450c3070f1814970e17,Aberdeen 66_11kV,aberdeen6611kv,2015,365,2014-05-01,2015-04-30,0,96,MW,0.9995148401826484,0,0,0,363,True
2015/Adamstown 132_11kV FY2015.csv,02215c0f92c3baa32f413470e12057de6b634d4ff9d3cae590dcedbc875f9c2e,Adamstown 132_11kV,adamstown13211kv,2015,365,2014-05-01,2015-04-30,0,96,MW,0.9998858447488584,0,0,0,365,True
2015/Argenton 132_11kV FY2015.csv,57026816af8c611c2154bd272908692ddb0bd05983ed127ba4c09b70544ad760,Argenton 132_11kV,argenton13211kv,2015,365,2014-05-01,2015-04-30,0,96,MW,0.9972888127853882,0,0,0,364,True
2015/Arncliffe 33_11kV FY2015.csv,cff7f549db6b8b9db3e45257d4a51eb39fbe5ede5902c10502c21fb52c92dbbd,Arncliffe 33_11kV,arncliffe3311kv,2015,365,2014-05-01,2015-04-30,0,96,MW,0.9969463470319635,0,0,0,364,True
2015/Auburn 33_11kV FY2015.csv,e8edbb0ab4b2a2347a3c5e21b296d97aa8994397959ad75ac859a012c8c0332f,Auburn 33_11kV,auburn3311kv,2015,365,2014-05-01,2015-04-30,0,96,MW,0.9969463470319635,0,0,0,364,True
2015/Avoca 66_11kV FY2015.csv,13a13a35fb352b85e90028e83c9b1e574546c7a1c5451e38f5bfadad8189eb7f,Avoca 66_11kV,avoca6611kv,2015,365,2014-05-01,2015-04-30,0,96,MW,0.9998858447488584,0,0,0,365,True
2015/Avondale 33_11kV FY2015.csv,0b02c0eef1a28a1de4451ba1cf49f9d24663140dbb31281ee175f12fa8d48a0b,Avondale 33_11kV,avondale3311kv,2015,365,2014-05-01,2015-04-30,0,96,MW,0.9917522831050228,0,0,0,362,True
2015/Baerami 33_11kV FY2015.csv,6c762eb7878c4ffc27e864adcbba9eed75821ccabd74dd4ef41047382a83ea9d,Baerami 33_11kV,baerami3311kv,2015,365,2014-05-01,2015-04-30,0,96,MW,0.8649828767123288,0,0,0,315,False
2015/Balgowlah North 132_11kV FY2015.csv,54d98f1d31c6cd7b2c31dfb8947f30373665f0409e123d6c1b49c122fe9abb4c,Balgowlah North 132_11kV,balgowlahnorth13211kv,2015,365,2014-05-01,2015-04-30,0,96,MW,0.9998002283105023,0,0,0,365,True
