station_key,canonical_station_name,first_financial_year,last_financial_year,year_count,financial_years,eligible_year_count,all_file_names
adamstown13211kv,Adamstown 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Adamstown 132_11kV
auburn3311kv,Auburn 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Auburn 33_11kV
avoca6611kv,Avoca 66_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Avoca 66_11kV
balgowlahnorth13211kv,Balgowlah North 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Balgowlah North 132_11kV
beaconhill3311kv,Beacon Hill 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Beacon Hill 33_11kV
berkeleyvale13211kv,Berkeley Vale 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Berkeley Vale 132_11kV
blakehurst3311kv,Blakehurst 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Blakehurst 33_11kV
broadmeadow13211kv,Broadmeadow 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Broadmeadow 132_11kV
brookvale3311kv,Brookvale 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Brookvale 33_11kV
campsie3311kv,Campsie 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Campsie 33_11kV
cardiff3311kv,Cardiff 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Cardiff 33_11kV
careelbay3311kv,Careel Bay 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Careel Bay 33_11kV
caringbah3311kv,Caringbah 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Caringbah 33_11kV
castlecove13211kv,Castle Cove 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Castle Cove 132_11kV
charlestown13211kv,Charlestown 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Charlestown 132_11kV
citynorth13211kv,City North 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,City North 132_11kV
citysouth13211kv,City South 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,City South 132_11kV
clovelly13211kv,Clovelly 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Clovelly 132_11kV
cronulla13211kv,Cronulla 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Cronulla 132_11kV
dalleyst13211kv,Dalley St 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Dalley St 132_11kV
darlingharbour13211kv,Darling Harbour 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Darling Harbour 132_11kV
deewhywest3311kv,Dee Why West 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Dee Why West 33_11kV
doublebay13211kv,Double Bay 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Double Bay 132_11kV
edgeworth3311kv,Edgeworth 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Edgeworth 33_11kV
epping6611kv,Epping 66_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Epping 66_11kV
flemington13211kv,Flemington 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Flemington 132_11kV
galston13211kv,Galston 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Galston 132_11kV
gorehill3311kv,Gore Hill 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Gore Hill 33_11kV
hornsby13211kv,Hornsby 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Hornsby 132_11kV
jesmond13211kv,Jesmond 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Jesmond 132_11kV
killarney3311kv,Killarney 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Killarney 33_11kV
kingsford13211kv,Kingsford 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Kingsford 132_11kV
kirrawee13211kv,Kirrawee 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Kirrawee 132_11kV
leightonfield3311kv,Leightonfield 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Leightonfield 33_11kV
lidcombe3311kv,Lidcombe 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Lidcombe 33_11kV
lisarow3311kv,Lisarow 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Lisarow 33_11kV
maroubra13211kv,Maroubra 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Maroubra 132_11kV
mascot3311kv,Mascot 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Mascot 33_11kV
mayfieldwest13211kv,Mayfield West 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Mayfield West 132_11kV
meadowbank13211kv,Meadowbank 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Meadowbank 132_11kV
menai13211kv,Menai 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,11,Menai 132_11kV
