site_name,SA2_NAME21,cluster,selection_reason,year,voltage_level_primary,voltage_level_secondary,n_1_nameplate_capacity_mva,available_capacity_load_at_n_1_mva,available_capacity_generation_a,network_capacity_implied_peak_proxy_mw,radial_or_nonfirm_flag,proxy_status,extract_date,owner,dataset,longitude,latitude,objectid
Bombala,Bombala,2,cluster_medoid,2025.0,66.0,22.0,13.0,8.0,12.2,5.0,False,nonnegative_derived_proxy,February 2025,Essential Energy,Secondary,149.24301148,-36.89133835,2461
Bombala,Bombala,2,cluster_medoid,2026.0,66.0,22.0,13.0,7.9,12.2,5.1,False,nonnegative_derived_proxy,February 2025,Essential Energy,Secondary,149.24301148,-36.89133835,2462
Bombala,Bombala,2,cluster_medoid,2027.0,66.0,22.0,13.0,7.9,12.1,5.1,False,nonnegative_derived_proxy,February 2025,Essential Energy,Secondary,149.24301148,-36.89133835,2463
Bombala,Bombala,2,cluster_medoid,2028.0,66.0,22.0,13.0,7.8,12.1,5.2,False,nonnegative_derived_proxy,February 2025,Essential Energy,Secondary,149.24301148,-36.89133835,2464
Bombala,Bombala,2,cluster_medoid,2029.0,66.0,22.0,13.0,7.8,12.0,5.2,False,nonnegative_derived_proxy,February 2025,Essential Energy,Secondary,149.24301148,-36.89133835,2465
Bombala,Bombala,2,cluster_medoid,2030.0,66.0,22.0,13.0,7.7,12.0,5.3,False,nonnegative_derived_proxy,February 2025,Essential Energy,Secondary,149.24301148,-36.89133835,2466
Bombala,Bombala,2,cluster_medoid,2031.0,66.0,22.0,13.0,7.6,11.9,5.4,False,nonnegative_derived_proxy,February 2025,Essential Energy,Secondary,149.24301148,-36.89133835,2467
Bombala,Bombala,2,cluster_medoid,2032.0,66.0,22.0,13.0,7.6,11.9,5.4,False,nonnegative_derived_proxy,February 2025,Essential Energy,Secondary,149.24301148,-36.89133835,2468
Bombala,Bombala,2,cluster_medoid,2033.0,66.0,22.0,13.0,7.5,11.9,5.5,False,nonnegative_derived_proxy,February 2025,Essential Energy,Secondary,149.24301148,-36.89133835,2469
Bombala,Bombala,2,cluster_medoid,2034.0,66.0,22.0,13.0,7.5,11.8,5.5,False,nonnegative_derived_proxy,February 2025,Essential Energy,Secondary,149.24301148,-36.89133835,2470
Hallidays Point 11kV,Old Bar - Manning Point - Red Head,4,cluster_medoid;resilience_challenge,2025.0,66.0,11.0,16.0,7.7,10.5,8.3,False,nonnegative_derived_proxy,February 2025,Essential Energy,Secondary,152.47157288,-32.06842422,741
Hallidays Point 11kV,Old Bar - Manning Point - Red Head,4,cluster_medoid;resilience_challenge,2026.0,66.0,11.0,16.0,7.7,10.0,8.3,False,nonnegative_derived_proxy,February 2025,Essential Energy,Secondary,152.47157288,-32.06842422,742
Hallidays Point 11kV,Old Bar - Manning Point - Red Head,4,cluster_medoid;resilience_challenge,2027.0,66.0,11.0,16.0,7.7,9.6,8.3,False,nonnegative_derived_proxy,February 2025,Essential Energy,Secondary,152.47157288,-32.06842422,743
Hallidays Point 11kV,Old Bar - Manning Point - Red Head,4,cluster_medoid;resilience_challenge,2028.0,66.0,11.0,16.0,7.7,9.3,8.3,False,nonnegative_derived_proxy,February 2025,Essential Energy,Secondary,152.47157288,-32.06842422,744
Hallidays Point 11kV,Old Bar - Manning Point - Red Head,4,cluster_medoid;resilience_challenge,2029.0,66.0,11.0,16.0,7.6,8.9,8.4,False,nonnegative_derived_proxy,February 2025,Essential Energy,Secondary,152.47157288,-32.06842422,745
Hallidays Point 11kV,Old Bar - Manning Point - Red Head,4,cluster_medoid;resilience_challenge,2030.0,66.0,11.0,16.0,7.6,8.6,8.4,False,nonnegative_derived_proxy,February 2025,Essential Energy,Secondary,152.47157288,-32.06842422,746
