factor_id,category,technology,min_g_co2e_per_kwh,q1_g_co2e_per_kwh,median_g_co2e_per_kwh,q3_g_co2e_per_kwh,max_g_co2e_per_kwh,functional_unit,scope,source_type,source_publisher,source_title,source_doi,source_catalogue_url,source_workbook_url,source_workbook_sheet,source_workbook_row,source_reference_and_notes
NREL_LCA_BIOPOWER_ALL_TECHNOLOGIES,Renewable,Biopower (All Technologies),-1000.0,28.0,52.0,110.0,1300.0,g CO2-e per kWh of electricity generated,"total life cycle across upstream, operation and downstream as represented in source harmonisation dataset",direct_official_dataset,NREL/National Laboratory of the Rockies,Life Cycle Greenhouse Gas Emissions from Electricity Generation: Update,10.7799/1819907,https://data.nlr.gov/submissions/171,https://data.nlr.gov/system/files/171/EF_Table_FINAL.xlsx,EF_Table,4,57 (+2) | 276 (+4) | EPRI 2013
NREL_LCA_CO_FIRING,Renewable,Co-firing,-1000.0,53.0,170.0,880.0,1300.0,g CO2-e per kWh of electricity generated,"total life cycle across upstream, operation and downstream as represented in source harmonisation dataset",direct_official_dataset,NREL/National Laboratory of the Rockies,Life Cycle Greenhouse Gas Emissions from Electricity Generation: Update,10.7799/1819907,https://data.nlr.gov/submissions/171,https://data.nlr.gov/system/files/171/EF_Table_FINAL.xlsx,EF_Table,5,EPRI 2013
NREL_LCA_DIRECT_COMBUSTION,Renewable,Direct Combustion,3.0,25.0,42.0,64.0,320.0,g CO2-e per kWh of electricity generated,"total life cycle across upstream, operation and downstream as represented in source harmonisation dataset",direct_official_dataset,NREL/National Laboratory of the Rockies,Life Cycle Greenhouse Gas Emissions from Electricity Generation: Update,10.7799/1819907,https://data.nlr.gov/submissions/171,https://data.nlr.gov/system/files/171/EF_Table_FINAL.xlsx,EF_Table,6,EPRI 2013
NREL_LCA_GASIFICATION,Renewable,Gasification,1.2,16.0,40.0,63.0,250.0,g CO2-e per kWh of electricity generated,"total life cycle across upstream, operation and downstream as represented in source harmonisation dataset",direct_official_dataset,NREL/National Laboratory of the Rockies,Life Cycle Greenhouse Gas Emissions from Electricity Generation: Update,10.7799/1819907,https://data.nlr.gov/submissions/171,https://data.nlr.gov/system/files/171/EF_Table_FINAL.xlsx,EF_Table,7,EPRI 2013
NREL_LCA_GASIFICATION_ENGINE,Renewable,Gasification Engine,14.0,85.0,95.0,100.0,110.0,g CO2-e per kWh of electricity generated,"total life cycle across upstream, operation and downstream as represented in source harmonisation dataset",direct_official_dataset,NREL/National Laboratory of the Rockies,Life Cycle Greenhouse Gas Emissions from Electricity Generation: Update,10.7799/1819907,https://data.nlr.gov/submissions/171,https://data.nlr.gov/system/files/171/EF_Table_FINAL.xlsx,EF_Table,8,EPRI 2013
NREL_LCA_PHOTOVOLTAIC_ALL_TECHNOLOGIES,Renewable,Photovoltaic (All Technologies),10.9,30.0,43.4,62.0,226.0,g CO2-e per kWh of electricity generated,"total life cycle across upstream, operation and downstream as represented in source harmonisation dataset",direct_official_dataset,NREL/National Laboratory of the Rockies,Life Cycle Greenhouse Gas Emissions from Electricity Generation: Update,10.7799/1819907,https://data.nlr.gov/submissions/171,https://data.nlr.gov/system/files/171/EF_Table_FINAL.xlsx,EF_Table,9,17 | 46 | Hsu et al. 2012 Kim et al. 2012 | See https://www.nrel.gov/docs/fy13osti/56487.pdf for approximate apportionment of total to individual life cycle stages
NREL_LCA_PHOTOVOLTAIC_THIN_FILM_ALL_TECHNOLOGIES,Renewable,Photovoltaic - Thin Film (All Technologies),11.0,26.0,36.0,48.0,226.0,g CO2-e per kWh of electricity generated,"total life cycle across upstream, operation and downstream as represented in source harmonisation dataset",direct_official_dataset,NREL/National Laboratory of the Rockies,Life Cycle Greenhouse Gas Emissions from Electricity Generation: Update,10.7799/1819907,https://data.nlr.gov/submissions/171,https://data.nlr.gov/system/files/171/EF_Table_FINAL.xlsx,EF_Table,10,5 | 5 | Kim et al. 2012 | See https://www.nrel.gov/docs/fy13osti/56487.pdf for approximate apportionment of total to individual life cycle stages
NREL_LCA_A_SI,Renewable,a-Si,11.0,29.0,37.0,55.0,226.0,g CO2-e per kWh of electricity generated,"total life cycle across upstream, operation and downstream as represented in source harmonisation dataset",direct_official_dataset,NREL/National Laboratory of the Rockies,Life Cycle Greenhouse Gas Emissions from Electricity Generation: Update,10.7799/1819907,https://data.nlr.gov/submissions/171,https://data.nlr.gov/system/files/171/EF_Table_FINAL.xlsx,EF_Table,11,Kim et al. 2012 | See https://www.nrel.gov/docs/fy13osti/56487.pdf for approximate apportionment of total to individual life cycle stages
NREL_LCA_CDTE,Renewable,CdTe,16.0,21.0,25.0,46.0,66.5,g CO2-e per kWh of electricity generated,"total life cycle across upstream, operation and downstream as represented in source harmonisation dataset",direct_official_dataset,NREL/National Laboratory of the Rockies,Life Cycle Greenhouse Gas Emissions from Electricity Generation: Update,10.7799/1819907,https://data.nlr.gov/submissions/171,https://data.nlr.gov/system/files/171/EF_Table_FINAL.xlsx,EF_Table,12,Kim et al. 2012 | See https://www.nrel.gov/docs/fy13osti/56487.pdf for approximate apportionment of total to individual life cycle stages
NREL_LCA_CIGS,Renewable,CIGS,21.0,34.0,41.0,55.0,95.0,g CO2-e per kWh of electricity generated,"total life cycle across upstream, operation and downstream as represented in source harmonisation dataset",direct_official_dataset,NREL/National Laboratory of the Rockies,Life Cycle Greenhouse Gas Emissions from Electricity Generation: Update,10.7799/1819907,https://data.nlr.gov/submissions/171,https://data.nlr.gov/system/files/171/EF_Table_FINAL.xlsx,EF_Table,13,Kim et al. 2012 | See https://www.nrel.gov/docs/fy13osti/56487.pdf for approximate apportionment of total to individual life cycle stages
