factor_id,category,item,region,use_case,energy_content_value,energy_content_unit,scope1_co2_kg_co2e_per_gj,scope1_ch4_kg_co2e_per_gj,scope1_n2o_kg_co2e_per_gj,scope1_combined_kg_co2e_per_gj,scope2_kg_co2e_per_kwh,scope3_kg_co2e_per_gj,scope3_kg_co2e_per_kwh,other_factor_value,other_factor_unit,source_table,pdf_page,source_url,notes
ELEC_NSW_LOCATION,electricity,purchased electricity,New South Wales and Australian Capital Territory,location-based,,,,,,,0.64,,0.03,,,Table 1,8,https://www.dcceew.gov.au/sites/default/files/documents/national-greenhouse-account-factors-2025.pdf,Scope 2 and scope 3 electricity factors
ELEC_NEM_CFI,electricity,National Electricity Market,Australia,Carbon Farming Initiative method,,,,,,,0.64,,,,,Table 3,14,https://www.dcceew.gov.au/sites/default/files/documents/national-greenhouse-account-factors-2025.pdf,Scope 2 grid factor
ELEC_OFFGRID_CFI,electricity,off-grid electricity,Australia,Carbon Farming Initiative method,,,,,,,0.67,,,,,Table 3,14,https://www.dcceew.gov.au/sites/default/files/documents/national-greenhouse-account-factors-2025.pdf,Scope 2 off-grid factor
ELEC_NSW_TD_LOSS,electricity,transmission and distribution losses,New South Wales and Australian Capital Territory,purchased electricity losses,,,,,,,,,,0.02,kg CO2-e/kWh,Table 25,56,https://www.dcceew.gov.au/sites/default/files/documents/national-greenhouse-account-factors-2025.pdf,Transmission and distribution loss emissions
DIESEL_STATIONARY,liquid fuel,diesel oil,Australia,stationary generator,38.6,GJ/kL,69.9,0.1,0.2,70.2,,17.3,,,,Table 8,23,https://www.dcceew.gov.au/sites/default/files/documents/national-greenhouse-account-factors-2025.pdf,Use fuel quantity times energy content times scope factors
DRY_WOOD,solid biomass,dry wood,Australia,stationary heat or electricity,16.2,GJ/t,0,0.1,1.1,1.2,,,,,,Table 4,15,https://www.dcceew.gov.au/sites/default/files/documents/national-greenhouse-account-factors-2025.pdf,Scope 3 not estimated; biogenic carbon balance assumption applies
GREEN_WOOD,solid biomass,green and air-dried wood,Australia,stationary heat or electricity,10.4,GJ/t,0,0.1,1.1,1.2,,,,,,Table 4,15,https://www.dcceew.gov.au/sites/default/files/documents/national-greenhouse-account-factors-2025.pdf,Scope 3 not estimated; biogenic carbon balance assumption applies
BAGASSE,solid biomass,bagasse,Australia,stationary heat or electricity,9.6,GJ/t,0,0.3,1.1,1.4,,,,,,Table 4,15,https://www.dcceew.gov.au/sites/default/files/documents/national-greenhouse-account-factors-2025.pdf,Scope 3 not estimated; biogenic carbon balance assumption applies
MUNICIPAL_BIOMASS,solid biomass,biomass municipal and industrial materials,Australia,stationary heat or electricity,12.2,GJ/t,0,0.8,1.0,1.8,,,,,,Table 4,16,https://www.dcceew.gov.au/sites/default/files/documents/national-greenhouse-account-factors-2025.pdf,Scope 3 not estimated; biogenic carbon balance assumption applies
PRIMARY_SOLID_BIOMASS,solid biomass,primary solid biomass fuels other,Australia,stationary heat or electricity,12.2,GJ/t,0,0.8,1.0,1.8,,,,,,Table 4,16,https://www.dcceew.gov.au/sites/default/files/documents/national-greenhouse-account-factors-2025.pdf,Scope 3 not estimated; biogenic carbon balance assumption applies
