site_name,longitude,latitude,source_file,weather_years,weather_start_year,weather_end_year,ghi_kwh_m2_day,ghi_daily_cv,dni_kwh_m2_day,wind50_mean_ms,wind50_p90_ms,wind50_cv,temp_mean_c,temp_p95_c,cooling_degree_hours_24c_per_year,solar_wind_daily_corr,resource_complementarity,population_2021_25km,crop_dry_tpy_25km,manure_vs_tpy_25km,organic_waste_tpy_25km,forestry_dry_tpy_25km,crop_dry_weighted_distance_km_25km,manure_vs_weighted_distance_km_25km,organic_waste_weighted_distance_km_25km,forestry_dry_weighted_distance_km_25km,nsw_land_fraction_of_buffer_25km,population_geometry_coverage_25km,biomass_geometry_coverage_of_nsw_land_25km,forestry_management_area_fraction_of_nsw_land_25km,population_regions_intersected_25km,biomass_regions_intersected_25km,forestry_regions_intersected_25km,population_2021_50km,crop_dry_tpy_50km,manure_vs_tpy_50km,organic_waste_tpy_50km,forestry_dry_tpy_50km,crop_dry_weighted_distance_km_50km,manure_vs_weighted_distance_km_50km,organic_waste_weighted_distance_km_50km,forestry_dry_weighted_distance_km_50km,nsw_land_fraction_of_buffer_50km,population_geometry_coverage_50km,biomass_geometry_coverage_of_nsw_land_50km,forestry_management_area_fraction_of_nsw_land_50km,population_regions_intersected_50km,biomass_regions_intersected_50km,forestry_regions_intersected_50km,population_2021_100km,crop_dry_tpy_100km,manure_vs_tpy_100km,organic_waste_tpy_100km,forestry_dry_tpy_100km,crop_dry_weighted_distance_km_100km,manure_vs_weighted_distance_km_100km,organic_waste_weighted_distance_km_100km,forestry_dry_weighted_distance_km_100km,nsw_land_fraction_of_buffer_100km,population_geometry_coverage_100km,biomass_geometry_coverage_of_nsw_land_100km,forestry_management_area_fraction_of_nsw_land_100km,population_regions_intersected_100km,biomass_regions_intersected_100km,forestry_regions_intersected_100km,SA2_CODE21,SA2_NAME21,AREASQKM21,population_2021,population_density,cluster,distance_to_cluster_centroid,resource_diversity_score,resilience_challenge_score,selection_reason,selected_for_detailed_study
TransGrid 220/22kV Total Broken Hill 22kV Supply,141.41925048800022,-31.986089705999987,00_Primary.geojson,11,2015,2025,5.755539654056744,0.37086216764735225,7.143722740169238,6.560625414800066,9.77,0.4029902438060116,19.18920793927327,35.03,16338.646363636362,0.0854694194686154,0.9145305805313846,17615.924113188514,204.2118561105474,0.026722305170184164,175.51210035776958,39.694304903556294,4.656612873077393e-13,4.656612873077393e-13,4.656612873077393e-13,4.656612873077393e-13,1.0,1.0,0.9999999999999999,0.9999999999999999,2,1,1,17700.50458861688,769.1635746610733,0.10064951251780599,661.0659982169498,149.46810660551606,2.6979498711882255,2.6979498711882255,2.6979498711882255,2.709263194970419,0.9415235889849222,1.0,1.0,0.9998368409445418,2,1,1,17948.787559721863,2427.735938835243,0.3176833209677104,2086.544052115922,471.71784093848936,22.218308339235218,22.218308339235218,22.218308339235218,22.241824987788036,0.7428666095007392,1.0,1.0,0.9998233614745391,2,1,1,105021097,Broken Hill,170.1153,17588.0,103.38870166293097,3,2.3790203955871276,0.3945889085565272,0.575,,False
Ivanhoe,144.3062896730001,-32.9079856869999,00_Primary.geojson,11,2015,2025,5.500097391737183,0.3941848726997216,6.732014917869587,6.269006346441016,9.42,0.4120519471957772,18.921087502074002,34.74,15524.443636363636,0.04989790906542807,0.9501020909345719,30.577581435985586,204.21185611054747,0.026722305170184178,175.51210035776967,89.3406286855478,1.041250292910165e-12,1.041250292910165e-12,1.041250292910165e-12,0.42355749170649254,1.0,1.0,1.0,0.9999982687130692,1,1,2,186.43981858996568,3850.701456491132,0.5886842373021721,876.7255179157264,322.33665603459536,34.84756573965663,35.416533328686896,14.889237626682135,6.9619872440889425,1.0,1.0,0.9999742060890427,0.9999995671782673,3,3,3,3022.4057073738104,166981.31982703137,8082.675071291649,5922.325903494718,971.6474522379434,78.25021075204661,82.3164147449707,62.196186961784775,20.83204591300194,0.9999999999999999,1.0,0.9999791007202887,1.0,5,5,3,105021098,Far West,146684.7317,2288.0,0.015598078774002351,3,2.0305605624918437,0.4362603435602891,0.6,,False
Ringwood Road,145.97065734900005,-34.6726570129999,00_Primary.geojson,11,2015,2025,5.293284380288702,0.42233762170184985,6.446916473369836,6.0015629666500745,9.32,0.4393429018312744,17.51973597975776,32.99,11815.444545454548,-0.018830516934908236,0.9811694830650918,1110.0407439498908,100026.97985426873,7032.04642345895,1359.511637386508,273.81592612135194,1.1065598998775166,2.0098518968000025,1.654144662211397,10.531444920564793,1.0,1.0,0.9999999999999998,1.0,2,2,3,36143.849911915764,440406.1654780892,38548.182465444,6826.180624811795,1063.797437497767,20.76200124255965,23.170974618381575,22.241704084804805,21.01231005960654,0.9999999999999996,1.0,1.0,1.0,6,4,4,59094.08726448405,1874230.214880357,120451.69401272658,48288.82182835411,3986.5249968079124,59.30264236378135,49.03976650595415,68.64535144881735,46.59736703944562,0.9999999999999989,1.0,1.0,1.0,11,9,5,113011257,Griffith Surrounds,23020.2045,12760.0,0.554295684037038,1,0.7519574978349728,0.7302056668292252,0.4625,,False
Narrandera,146.5387268070001,-34.743625640999944,00_Primary.geojson,11,2015,2025,5.2207288377302135,0.4296682199040562,6.2484758312593325,6.0015629666500745,9.32,0.4393429018312744,17.51973597975776,32.99,11815.444545454548,-0.026943830854343122,0.9730561691456568,6762.494758106706,115320.18007829468,20644.84046415643,3036.771157284073,510.4921538970207,0.32077321856080504,0.22879450173753493,0.2474888746444366,1.713306899840194,1.0,1.0,1.0,1.0,3,2,2,19084.472460715362,490555.8126089948,57824.35913718586,23882.682681090177,1949.5887260767167,15.625260505168933,4.502931840825913,24.457664743436045,5.326222163958655,0.9999999999999994,1.0,0.9999956548872891,1.0,5,4,3,128140.41499775951,2328976.130655047,105877.74893407426,106830.79099223949,12829.343670901779,59.862580559477124,30.757009918758882,56.69604040245246,62.478186150506986,0.9999999999999998,1.0,1.0,1.0,16,10,7,113011259,Narrandera,5409.2764,5905.0,1.0916432371619982,1,0.7234107055638986,0.7671313313827903,0.4625,resource_extreme,True
Ariah Park,147.21784973100011,-34.352016448999926,00_Primary.geojson,11,2015,2025,5.165712548531609,0.4336161264207236,6.091971105027376,5.901576136552182,9.31,0.4557058055245354,16.474168844367014,31.57,9075.051818181819,-0.022064214763203246,0.9779357852367968,3170.6300404242556,165838.69375890665,541.5078329279253,1730.95355216001,467.22005790915586,7.216391339177185,12.72660361614261,11.567305655866267,3.9473902579306914,1.0,1.0,0.9999999999999998,0.9999999999999999,3,3,2,11480.254777202477,621623.4649741881,8480.679305375274,17844.605131494864,1560.4015803425452,23.738496630554742,37.341418872995725,32.887374075159336,13.470696204157104,1.0,1.0,0.9999957625760824,0.9999999999999992,6,6,2,117421.76312561391,2206453.1319984193,64071.247668287324,76167.77909247218,55853.30124481788,58.88351965680152,67.46814553730445,65.3704491468265,79.52298261072899,1.0,1.0,1.0,1.0,18,12,8,113031266,Temora,3434.2619,6603.0,1.9226838815059504,1,1.0352711072285579,0.7285263520860481,0.43750000000000006,,False
West Jemalong,147.66235351600008,-33.379119872999986,00_Primary.geojson,11,2015,2025,5.311074922847188,0.4161673687929612,6.358969435042309,5.7821491828438685,9.02,0.4432516659471851,17.551301850008297,32.9,11713.106363636361,-0.030336226469514824,0.9696637735304852,3817.5527472966046,113945.15101558184,1496.367447006638,4243.923865528925,35.69959342864234,4.427191247237137,2.977964400555207,3.704858087332516,7.311455978335085,1.0,1.0,0.9999858368949001,1.0,3,3,2,12139.343643275179,402627.25379941496,3631.479791988748,11165.090163134857,172.839113090739,25.27253258414149,19.17261341261685,20.319665489385088,21.088881663581674,0.9999999999999997,1.0,1.0,1.0,6,5,2,45432.781922245405,1499678.0038052052,11286.075036311766,48145.340670055135,2370.2250335345375,58.864463176869826,57.83372516299955,67.26665160203406,80.48152368432348,1.0,1.0,0.9999975953205422,0.9999999999999992,14,12,5,103021065,Forbes,4598.0438,10020.0,2.179187592775867,1,0.6954423164972702,0.6664670140512398,0.49999999999999994,cluster_medoid,True
Narromine,148.24697876000008,-32.23620986899993,00_Primary.geojson,11,2015,2025,5.356661754604281,0.4029402981398588,6.375992787456446,6.097733843537414,9.189000000000087,0.41203505034608745,18.475871391239423,33.76,13700.291818181817,0.03132430110969109,0.9686756988903089,2236.4870599234596,68439.2040408211,36.19011353921925,2675.7861232022615,5.166638854439856,4.1459703255430735,4.310491553717923,13.040189814003439,0.5715076935859345,1.0,1.0,1.0,0.9999999999999997,2,2,2,49329.44283536,237988.07801150612,280.78298827761193,15562.388934577953,33.97602178642057,17.954083362351746,31.11939172204034,27.63475354109644,21.17114571637223,1.0,1.0,0.9999990381131377,0.9999999999999992,8,5,3,74990.16769281522,757429.0806933767,3015.2941733772263,57429.739600170855,1191.3013707502814,55.479652060508144,71.70284145965971,61.12097355304328,88.75356526747099,1.0,1.0,1.0,1.0,15,11,6,105031105,Narromine,5956.2535,6458.0,1.0842386073729064,1,1.719029552400562,0.6199863507687013,0.475,,False
Jindabyne 11kV,148.59796142600018,-36.414825439999966,00_Primary.geojson,11,2015,2025,4.709784947735192,0.4658338898556416,5.429590945744152,5.6471255392400845,9.65,0.50809664268417,10.315759602621537,23.55,1129.5254545454545,-0.23711614211495302,0.762883857885047,3958.687112374641,2115.3228599014765,21.558217729263056,1642.775513523561,13456.251593977979,1.5081530945225048,20.891103631466827,0.3981799172890113,13.91475365767804,0.9999999999999998,1.0,1.0,0.999992372011889,2,2,3,13225.277838885013,13452.395607522509,1021.8743555894602,5159.580393512858,62720.40498651583,26.162437933185263,33.15766635941317,17.827599247413282,24.203128886484933,0.9727044174225445,1.0,1.0,1.0,6,5,4,28501.7305151801,40295.47797967463,3917.6221353755864,175819.81768763106,291515.79114490555,54.80598523512354,67.37362766172737,85.3737062300407,62.51484086996124,0.6844466035318492,1.0,1.0,1.0,11,11,9,101031016,Jindabyne - Berridale,3939.7888,8035.0,2.039449424294013,2,2.0518300429850687,0.4436776150617017,0.6375000000000001,,False
Merrywinebone,148.80603027300006,-29.696500777999944,00_Primary.geojson,11,2015,2025,5.6711881010452965,0.34982393093916575,6.772580918367347,5.8675,8.89,0.413558836802884,20.835010992201756,35.69,19682.623636363638,0.05987345246348116,0.9401265475365188,420.58352017021355,26490.48636030566,15.123541799026464,399.6146963898742,133.13644274894205,11.326747995770962,4.136594866472881,7.2622615845955405,10.155960697133143,0.9999999999999999,1.0,1.0,1.0,2,2,2,1853.0591562575064,162344.7404217164,56.27330745619287,2096.8193446182327,552.0993639611177,27.884089348160174,19.406465969262925,25.62208020618819,19.924385347020912,1.0,1.0,1.0,0.9999999999999991,3,3,2,9928.687201847531,679922.4256985271,243.3347519862483,9616.207714222992,2228.3689471975163,57.73109867269099,53.70830802908547,57.39334069869791,39.13741018649026,0.9555300232545002,1.0,0.999508615098802,0.9995828582098983,5,4,2,105011096,Walgett - Lightning Ridge,27011.1328,5534.0,0.20487848625141705,3,0.9554790418854283,0.594220718639754,0.55,cluster_medoid,True
Bombala,149.24301147500017,-36.89133834799998,00_Primary.geojson,11,2015,2025,4.551089074166252,0.43641807519447484,4.986153820308611,4.240896382943421,6.94,0.47214321724867897,13.075924900447985,25.71,2397.206363636363,-0.14777084085722314,0.8522291591427769,1425.6135790863646,3738.177609075409,334.3115590918995,1053.2103784903588,44268.899471856406,3.885714255006646,18.68219627984276,16.99228854274798,7.994584895441293,1.0,1.0,1.0,0.9999999999999997,3,3,2,7863.00912939631,14297.242028248917,4406.445620714893,13777.061816010679,154045.0381147256,23.163453115627068,30.572391922026984,31.058012911372558,18.05815426701024,0.8819877111847406,1.0,1.0,1.0,5,5,3,57588.070185662706,34213.02255590017,10732.927724932082,37218.9468017205,334251.43706455914,47.839363865635846,45.10417163380866,49.00528314109482,38.027031040413185,0.5944834750797011,1.0,0.9999929536855438,1.0,12,7,7,101031013,Bombala,3990.144,2454.0,0.6150153979405255,2,1.6484577856128404,0.4930752799367575,0.65625,cluster_medoid,True
